Tournament,Round,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Attendance,Referee,Goals
FA Cup 2022-23,First Round,4 November 2022,19:50 GMT,Sheffield Wednesday (3),3-0,Morecambe (3),0-0,Hillsborough Stadium, Sheffield,8558,Sunny Sukhvir Gill,"Windass 29'; Mighten 65', 75'"
FA Cup 2022-23,First Round,4 November 2022,19:55 GMT,Hereford (6),1-3,Portsmouth (3),0-0,Edgar Street, Hereford,4912,Sebastian Stockbridge,"Storey 26' | Hackett-Fairchild 33'; Bishop 64'; Pigott 80'"
FA Cup 2022-23,First Round,5 November 2022,12:00 GMT,South Shields (7),0-2,Forest Green Rovers (3),0-0,First Cloud Arena, Jarrow,3800,Scott Oldham,"Wickham 28', 90+6'"
FA Cup 2022-23,First Round,5 November 2022,12:30 GMT,Bradford City (4),0-1,Harrogate Town (4),0-0,Valley Parade, Bradford,6837,Martin Coy,"Daly 9'"
FA Cup 2022-23,First Round,5 November 2022,14:00 GMT,Bolton Wanderers (3),1-2,Barnsley (3),0-0,University of Bolton Stadium, Horwich,5999,Carl Boyeson,"Böðvarsson 80' | Santos 6'(o.g.); Phillips 33'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Boreham Wood (5),3-1,Eastleigh (5),0-0,Meadow Park, Borehamwood,904,Paul Marsden,"Broadbent 10'; Ndlovu 12'; Brunt 60' | Carter 17'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Maidenhead United (5),0-1,Dagenham & Redbridge (5),0-0,York Road, Maidenhead,1060,Paul Johnson,"Walker 81'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Crawley Town (4),1-4,Accrington Stanley (3),0-0,Broadfield Stadium, Crawley,2770,Ollie Yates,"Hessenthaler 18' | Whalley 1', 22', 49'; Hamilton 45'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Solihull Moors (5),2-2,Hartlepool United (4),0-0,Damson Park, Solihull,1658,Paul Howard,"Dallas 51'; Sbarra 84' | Umerah 18'; Hamilton 69'"
FA Cup 2022-23,First Round,15 November 2022,19:45 GMT,Hartlepool United (4),1-1 (4-3 p),Solihull Moors (5),0-0,Victoria Park, Hartlepool,2170,Seb Stockbridge,"Tumilty 90' | Barnett 8'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,AFC Fylde (6),1-1,Gillingham (4),0-0,Mill Farm Sports Village, Medlar-with-Wesham,996,Tom Reeves,"Walker 83' | Mandron 45+3'"
FA Cup 2022-23,First Round,15 November 2022,19:45 GMT,Gillingham (4),1-0,AFC Fylde (6),0-0,Priestfield Stadium, Gillingham,1932,Will Finnie,"Walker 43'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Peterborough United (3),0-0,Salford City (4),0-0,London Road, Peterborough,4021,Tom Nield,""
FA Cup 2022-23,First Round,16 November 2022,19:45 GMT,Salford City (4),0-3,Peterborough United (3),0-0,Moor Lane, Salford,1059,Ben Toner,"Mason-Clark 39'; Marriott 78', 83'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Sutton United (4),0-2,Farnborough (6),0-0,Gander Green Lane, Sutton,1929,Alan Young,"Fernandes 86'; Amartey 90+6'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Grimsby Town (4),5-1,Plymouth Argyle (3),0-0,Blundell Park, Cleethorpes,4571,Thomas Parsons,"Smith 10'; Efete 33'; Kiernan 39', 58'; Driscoll-Glennan 45+7' | Randell 5'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Milton Keynes Dons (3),6-0,Taunton Town (6),0-0,Stadium MK, Denbigh,2739,Thomas Kirk,"Devoy 6'; Grigg 13'; Burns 48'; Eisa 74'; Grant 82', 84'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Ebbsfleet United (6),2-1,FC Halifax Town (5),0-0,Stonebridge Road, Northfleet,2099,Edward Duckworth,"Edser 13'; Bingham 52' | Cooke 17'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Carlisle United (4),2-1,Tranmere Rovers (4),0-0,Brunton Park, Carlisle,4154,Declan Bourne,"Gibson 30'; Harris 66' | Byrne 82'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Chippenham Town (6),1-0,Lincoln City (3),0-0,Hardenhuish Park, Chippenham,2175,Carl Brook,"Hanks 44'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Shrewsbury Town (3),2-1,York City (5),0-0,New Meadow, Shrewsbury,3807,Scott Tallis,"Shipley 2'; Leahy 45+3'(pen.) | Duku 45+5'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Buxton (6),2-0,Merthyr Town (7),0-0,The Silverlands, Buxton,1879,Ruebyn Ricardo,"De Girolamo 5'(pen.); Gilchrist 88'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Charlton Athletic (3),4-1,Coalville Town (7),0-0,The Valley, Charlton,4707,Lewis Smith,"Payne 24', 81'; Stockley 45+3'; Aneke 90' | Chambers 52'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Weymouth (6),1-1,AFC Wimbledon (4),0-0,Bob Lucas Stadium, Weymouth,2934,Sam Allison,"Rose 70' | Assal 5'"
FA Cup 2022-23,First Round,15 November 2022,19:45 GMT,AFC Wimbledon (4),3-1,Weymouth (6),0-0,Plough Lane, Merton,3672,Declan Bourne,"Assal 48'; Chislett 61', 64' | Ash 78'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Newport County (4),2-0,Colchester United (4),0-0,Rodney Parade, Newport,2377,Bobby Madden,"O'Hara 28'(o.g.); Aa. Lewis 76'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Stockport County (4),4-0,Swindon Town (4),0-0,Edgeley Park, Edgeley,4534,Marc Edwards,"Sarcevic 11', 29'; Wright 16'; Rydel 58'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Doncaster Rovers (4),0-1,King's Lynn Town (6),0-0,Eco-Power Stadium, Doncaster,3965,Geoff Eltringham,"Omotayo 83'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Gateshead (5),2-3,Stevenage (4),0-0,Gateshead International Stadium, Gateshead,1059,Peter Wright,"Harris 53'; Conteh 62' | Roberts 21'; Richardson 34'(o.g.); Norris 72'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Fleetwood Town (3),3-1,Oxford City (6),0-0,Highbury Stadium, Fleetwood,1357,Aaron Jackson,"Warrington 14'; Lane 44', 84' | Potter 81'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Burton Albion (3),2-0,Needham Market (7),0-0,Pirelli Stadium, Burton upon Trent,1989,Andrew Kitchen,"Oshilaja 34'; Powell 90+4'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Port Vale (3),2-3,Exeter City (3),0-0,Vale Park, Burslem,4807,Simon Mather,"Politic 25'; Butterworth 87' | J. Brown 43', 66'; Collins 89'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Bristol Rovers (3),1-0,Rochdale (4),0-0,Memorial Stadium, Horfield,4679,Will Finnie,"Sinclair 65'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Wycombe Wanderers (3),0-2,Walsall (4),0-0,Adams Park, High Wycombe,2319,Martin Woods,"Maddox 41'; Hutchinson 62'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Crewe Alexandra (4),1-0,Leyton Orient (4),0-0,Gresty Road, Crewe,2104,Sam Purkiss,"Sambou 90+2'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Barnet (5),1-1,Chelmsford City (6),0-0,The Hive Stadium, Canons Park,1773,Daniel Middleton,"Wynter 49' | Ruff 90+2'"
FA Cup 2022-23,First Round,14 November 2022,19:45 GMT,Chelmsford City (6),0-1,Barnet (5),0-0,Melbourne Stadium, Chelmsford,3015,Adrian Quelch,"Kanu 74'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Chesterfield (5),1-0,Northampton Town (4),0-0,Technique Stadium, Chesterfield,5886,Adam Herczeg,"Dobra 14'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Cheltenham Town (3),1-2,Alvechurch (7),0-0,Whaddon Road, Cheltenham,4406,Robert Lewis,"Jackson 54' | Waldron 19', 50'"
FA Cup 2022-23,First Round,5 November 2022,15:00 GMT,Barrow (4),0-1,Mansfield Town (4),0-0,Holker Street, Barrow-in-Furness,2501,Andy Haines,"Hawkins 39'"
FA Cup 2022-23,First Round,6 November 2022,12:30 GMT,Wrexham (5),3-0,Oldham Athletic (5),0-0,Racecourse Ground, Wrexham,9113,Sam Barrott,"Dalby 10'; Mullin 25', 62'"
FA Cup 2022-23,First Round,6 November 2022,14:00 GMT,Curzon Ashton (6),0-0,Cambridge United (3),0-0,Tameside Stadium, Ashton-under-Lyne,1567,Anthony Backhouse,""
FA Cup 2022-23,First Round,15 November 2022,19:45 GMT,Cambridge United (3),0-0 (4-2 p),Curzon Ashton (6),0-0,Abbey Stadium, Cambridge,2222,Charles Breakspear,""
FA Cup 2022-23,First Round,6 November 2022,15:00 GMT,Torquay United (5),2-2,Derby County (3),0-0,Plainmoor, Torquay,4269,David Rock,"Hall 56'(pen.); Goodwin 90+5' | Osula 27', 47'"
FA Cup 2022-23,First Round,15 November 2022,19:45 GMT,Derby County (3),5-0,Torquay United (5),0-0,Pride Park Stadium, Derby,7201,Sam Purkiss,"Ellis 7'(o.g.); Osula 15'; Thompson 38'; Dobbin 62'; McGoldrick 79'"
FA Cup 2022-23,First Round,7 November 2022,19:45 GMT,Bracknell Town (7),0-3,Ipswich Town (3),0-0,Bottom Meadow, Sandhurst,1950,Charles Breakspear,"Bayliss 66'(o.g.); Ladapo 73'; Camará 81'"
FA Cup 2022-23,First Round,16 November 2022,19:45 GMT,Woking (5),1-2,Oxford United (3),0-0,Kingfield Stadium, Woking,4173,Craig Hicks,"Ince 43' | Bodin 39'; Goodrham 53'"
FA Cup 2022-23,Second Round,26 November 2022,12:45 GMT,King's Lynn Town (6),0-3,Stevenage (4),0-0,The Walks, King's Lynn,4203,Andrew Kitchen,"Norris 49', 51'; Reid 54'"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Cambridge United (3),1-2,Grimsby Town (4),0-0,Abbey Stadium, Cambridge,3044,Carl Brook,"Smith 81' | Khan 61', 90'"
FA Cup 2022-23,Second Round,26 November 2022,15:15 GMT,Wrexham (5),4-1,Farnborough (6),0-0,Racecourse Ground, Wrexham,9118,James Oldham,"Mullin 49', 82', 90'; Lee 78' | Pendlebury 62'"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Accrington Stanley (3),1-0,Barnet (5),0-0,Crown Ground, Accrington,1771,Adam Herczeg,"Hamilton 84'"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Barnsley (3),3-0,Crewe Alexandra (4),0-0,Oakwell, Barnsley,3967,Tom Reeves,"Cole 30'; Phillips 50'; Benson 57'(pen.)"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Forest Green Rovers (3),2-1,Alvechurch (7),0-0,The New Lawn, Nailsworth,2758,Martin Coy,"Wickham 24'(pen.); March 51' | Abbey 49'"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Portsmouth (3),3-2,Milton Keynes Dons (3),0-0,Fratton Park, Portsmouth,8056,Sunny Sukhvir Gill,"Hackett-Fairchild 22'; Bishop 35'(pen.), 48'(pen.) | Burns 19'; Eisa 61'"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Shrewsbury Town (3),3-1,Peterborough United (3),0-0,New Meadow, Shrewsbury,2895,Simon Mather,"Bayliss 2'; Pennington 35'; Leahy 45+7'(pen.) | Poku 13'"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Hartlepool United (4),3-1,Harrogate Town (4),0-0,Victoria Park, Hartlepool,2772,Sam Purkiss,"Cooke 41'; Umerah 71', 45+4'(pen.) | Coley 73'"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Charlton Athletic (3),2-2,Stockport County (4),0-0,The Valley, Charlton,3889,Lee Swabey,"Lewis 23'(o.g.); Morgan 39' | Hussey 3'; Hippolyte 90+7'"
FA Cup 2022-23,Second Round,7 December 2022,19:45 GMT,Stockport County (4),3-1,Charlton Athletic (3),0-0,Edgeley Park, Stockport,6242,Scott Oldham,"Collar 25', 73', 81'(pen.) | Wright 7'(o.g.)"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Oxford United (3),4-1,Exeter City (3),0-0,Kassam Stadium, Oxford,3599,Will Finnie,"Taylor 9'; Bodin 79', 88'; Brannagan 85' | Jay 89'"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Sheffield Wednesday (3),2-1,Mansfield Town (4),0-0,Hillsborough Stadium, Sheffield,13932,Ollie Yates,"Smith 78', 83' | Lapslie 34'"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,AFC Wimbledon (4),0-2,Chesterfield (5),0-0,Plough Lane, Wimbledon,4176,David Rock,"Dobra 44'; King 76'"
FA Cup 2022-23,Second Round,26 November 2022,15:00 GMT,Walsall (4),2-1,Carlisle United (4),0-0,Bescot Stadium, Walsall,3499,Scott Oldham,"Williams 88'; James-Taylor 90+3' | Edmondson 29'"
FA Cup 2022-23,Second Round,26 November 2022,17:00 GMT,Dagenham & Redbridge (5),1-1,Gillingham (4),0-0,Victoria Road, Dagenham,1702,Darren Drysdale,"Walker 80' | Kashket 90+2'"
FA Cup 2022-23,Second Round,8 December 2022,19:15 GMT,Gillingham (4),3-2,Dagenham & Redbridge (5),0-0,Priestfield Stadium, Gillingham,1533,Thomas Kirk,"Baggott 26'; Ehmer 77'; Adelakun 90+5' | Robinson 15'; Saunders 84'"
FA Cup 2022-23,Second Round,27 November 2022,12:30 GMT,Ebbsfleet United (6),0-1,Fleetwood Town (3),0-0,Stonebridge Road, Northfleet,2960,Adam Herczeg,"G. Garner 64'"
FA Cup 2022-23,Second Round,27 November 2022,14:00 GMT,Bristol Rovers (3),0-2,Boreham Wood (5),0-0,Memorial Stadium, Horfield,4769,Sam Barrott,"Evans 18'; Stephens 30'"
FA Cup 2022-23,Second Round,27 November 2022,14:00 GMT,Burton Albion (3),6-1,Chippenham Town (6),0-0,Pirelli Stadium, Burton upon Trent,2080,Ben Speedie,"Smith 26'; Oshilaja 44', 90'; Kamwa 54'; Winnall 78', 84' | Parsons 60'"
FA Cup 2022-23,Second Round,27 November 2022,15:15 GMT,Newport County (4),1-2,Derby County (3),0-0,Rodney Parade, Newport,3507,Anthony Backhouse,"Farquharson 41' | Sibley 54'; McGoldrick 88'"
FA Cup 2022-23,Second Round,27 November 2022,17:00 GMT,Ipswich Town (3),4-0,Buxton (6),0-0,Portman Road, Ipswich,9817,Ross Joyce,"Chaplin 33', 73'; Ahadme 38'; Jackson 90+2'"
FA Cup 2022-23,Third Round,6 January 2023,20:00 GMT,Manchester United (1),3-1,Everton (1),0-0,Old Trafford, Trafford,72306,Darren England,"Antony 4'; Coady 52'(o.g.); Rashford 90+7'(pen.) | Coady 14'"
FA Cup 2022-23,Third Round,7 January 2023,12:30 GMT,Preston North End (2),3-1,Huddersfield Town (2),0-0,Deepdale, Preston,6799,Anthony Backhouse,"Lees 60'(o.g.); Diaby 73'; Browne 85' | Kamberi 57'"
FA Cup 2022-23,Third Round,7 January 2023,12:30 GMT,Tottenham Hotspur (1),1-0,Portsmouth (3),0-0,Tottenham Hotspur Stadium, London,60161,Thomas Bramall,"Kane 50'"
FA Cup 2022-23,Third Round,7 January 2023,12:30 GMT,Gillingham (4),0-1,Leicester City (1),0-0,Priestfield Stadium, Gillingham,8567,Sam Barrott,"Iheanacho 56'"
FA Cup 2022-23,Third Round,7 January 2023,12:30 GMT,Crystal Palace (1),1-2,Southampton (1),0-0,Selhurst Park, London,20320,Darren Bond,"Édouard 14' | Ward-Prowse 37'; A. Armstrong 68'"
FA Cup 2022-23,Third Round,7 January 2023,12:30 GMT,Reading (2),2-0,Watford (2),0-0,Select Car Leasing Stadium, Reading,7954,Peter Bankes,"Abrefa 45+3'; Long 90+3'"
FA Cup 2022-23,Third Round,7 January 2023,15:00 GMT,Middlesbrough (2),1-5,Brighton & Hove Albion (1),0-0,Riverside Stadium, Middlesbrough,21982,Simon Hooper,"Akpom 13' | Groß 8'; Lallana 29'; Mac Allister 58', 80'; Undav 88'"
FA Cup 2022-23,Third Round,7 January 2023,15:00 GMT,Chesterfield (5),3-3,West Bromwich Albion (2),0-0,Technique Stadium, Chesterfield,9819,Rebecca Welch,"Williams 7'; Dobra 36', 41' | Thomas-Asante 2', 90+3'; Grant 17'"
FA Cup 2022-23,Third Round,17 January 2023,20:00 GMT,West Bromwich Albion (2),4-0,Chesterfield (5),0-0,The Hawthorns, West Bromwich,12638,Tim Robinson,"Swift 23'; Rogic 48'; Livermore 54'; Malcolm 90+1'"
FA Cup 2022-23,Third Round,7 January 2023,15:00 GMT,Boreham Wood (5),1-1,Accrington Stanley (3),0-0,Meadow Park, Borehamwood,2001,Oliver Langford,"Ndlovu 78' | Astley 6'"
FA Cup 2022-23,Third Round,24 January 2023,19:45 GMT,Accrington Stanley (3),1-0 (a.e.t.),Boreham Wood (5),0-0,Crown Ground, Accrington,1940,Scott Oldham,"Leigh 97'(pen.)"
FA Cup 2022-23,Third Round,7 January 2023,15:00 GMT,Bournemouth (1),2-4,Burnley (2),0-0,Dean Court, Bournemouth,10116,Tim Robinson,"Christie 12'; Solanke 48' | Benson 6', 57'; Zaroury 39', 43'"
FA Cup 2022-23,Third Round,7 January 2023,15:00 GMT,Fleetwood Town (3),2-1,Queens Park Rangers (2),0-0,Highbury Stadium, Fleetwood,3151,Stephen Martin,"Nsiala 40'; Omochere 67' | Field 37'"
FA Cup 2022-23,Third Round,7 January 2023,15:00 GMT,Blackpool (2),4-1,Nottingham Forest (1),0-0,Bloomfield Road, Blackpool,8750,James Linington,"Ekpiteta 17'; Poveda 64'; Hamilton 71'; Yates 87' | Yates 90+2'"
FA Cup 2022-23,Third Round,7 January 2023,15:00 GMT,Hull City (2),0-2,Fulham (1),0-0,MKM Stadium, Kingston upon Hull,14175,Josh Smith,"Kurzawa 37'; James 90+4'"
FA Cup 2022-23,Third Round,7 January 2023,15:00 GMT,Millwall (2),0-2,Sheffield United (2),0-0,The Den, London,7268,John Brooks,"Jebbison 23'; Bogle 36'"
FA Cup 2022-23,Third Round,7 January 2023,15:00 GMT,Shrewsbury Town (3),1-2,Sunderland (2),0-0,New Meadow, Shrewsbury,6309,Scott Oldham,"Pennington 81' | Stewart 90+2'; O'Nien 90+4'"
FA Cup 2022-23,Third Round,7 January 2023,15:00 GMT,Ipswich Town (3),4-1,Rotherham United (2),0-0,Portman Road, Ipswich,15728,Sebastian Stockbridge,"Humphreys 43'; Chaplin 74'(pen.); Ladapo 79'; Burns 87'(pen.) | Washington 47'(pen.)"
FA Cup 2022-23,Third Round,7 January 2023,17:30 GMT,Brentford (1),0-1,West Ham United (1),0-0,Gtech Community Stadium, London,16725,Andre Marriner,"Benrahma 79'"
FA Cup 2022-23,Third Round,7 January 2023,17:30 GMT,Coventry City (2),3-4,Wrexham (5),0-0,Coventry Building Society Arena, Coventry,18218,Tom Nield,"Sheaf 36'; Gyökeres 69'; Palmer 76' | Dalby 12'; Lee 18'; O'Connor 45+6'; Mullin 58'(pen.)"
FA Cup 2022-23,Third Round,7 January 2023,17:30 GMT,Luton Town (2),1-1,Wigan Athletic (2),0-0,Kenilworth Road, Luton,5660,David Webb,"Cornick 45+1' | Naylor 17'"
FA Cup 2022-23,Third Round,17 January 2023,19:45 GMT,Wigan Athletic (2),1-2,Luton Town (2),0-0,DW Stadium, Wigan,5668,Matt Donohue,"Aasgaard 46' | Woodrow 51'; Adebayo 90+8'"
FA Cup 2022-23,Third Round,7 January 2023,17:30 GMT,Grimsby Town (4),1-0,Burton Albion (3),0-0,Blundell Park, Cleethorpes,5447,Charles Breakspear,"Richardson 76'"
FA Cup 2022-23,Third Round,7 January 2023,18:00 GMT,Sheffield Wednesday (3),2-1,Newcastle United (1),0-0,Hillsborough Stadium, Sheffield,25884,Michael Salisbury,"Windass 52', 65' | Bruno Guimarães 69'"
FA Cup 2022-23,Third Round,7 January 2023,20:00 GMT,Liverpool (1),2-2,Wolverhampton Wanderers (1),0-0,Anfield, Liverpool,52636,Andrew Madley,"Núñez 45'; Salah 52' | Guedes 26'; Hwang Hee-chan 66'"
FA Cup 2022-23,Third Round,17 January 2023,19:45 GMT,Wolverhampton Wanderers (1),0-1,Liverpool (1),0-0,Molineux Stadium, Wolverhampton,30948,Andre Marriner,"Elliott 13'"
FA Cup 2022-23,Third Round,8 January 2023,12:30 GMT,Derby County (3),3-0,Barnsley (3),0-0,Pride Park Stadium, Derby,11512,Sunny Singh Gill,"Collins 45+1'(pen.); Barkhuizen 60'; Knight 79'"
FA Cup 2022-23,Third Round,8 January 2023,12:30 GMT,Bristol City (2),1-1,Swansea City (2),0-0,Ashton Gate, Bristol,12145,Matt Donohue,"Semenyo 75' | Piroe 15'"
FA Cup 2022-23,Third Round,17 January 2023,19:45 GMT,Swansea City (2),1-2 (a.e.t.),Bristol City (2),0-0,Swansea.com Stadium, Swansea,10030,Graham Scott,"Cooper 73' | Sykes 62'; Bell 112'"
FA Cup 2022-23,Third Round,8 January 2023,14:00 GMT,Stockport County (4),1-2,Walsall (4),0-0,Edgeley Park, Stockport,9178,Andrew Kitchen,"Madden 88' | Johnson 63'; Williams 90+5'(pen.)"
FA Cup 2022-23,Third Round,8 January 2023,14:00 GMT,Cardiff City (2),2-2,Leeds United (1),0-0,Cardiff City Stadium, Cardiff,20324,Jarred Gillett,"Philogene 24'; Ojo 31' | Rodrigo 65'; Perkins 90+3'"
FA Cup 2022-23,Third Round,18 January 2023,19:45 GMT,Leeds United (1),5-2,Cardiff City (2),0-0,Elland Road, Leeds,34465,Thomas Bramall,"Gnonto 1', 36'; Rodrigo 34'; Bamford 71', 76' | Robinson 84', 90+3'(pen.)"
FA Cup 2022-23,Third Round,8 January 2023,14:00 GMT,Norwich City (2),0-1,Blackburn Rovers (2),0-0,Carrow Road, Norwich,20472,Gavin Ward,"Vale 31'"
FA Cup 2022-23,Third Round,8 January 2023,14:00 GMT,Hartlepool United (4),0-3,Stoke City (2),0-0,The Suit Direct Stadium, Hartlepool,4340,Ben Toner,"Murray 16'(o.g.); Brown 43'; Menayese 48'(o.g.)"
FA Cup 2022-23,Third Round,8 January 2023,16:30 GMT,Manchester City (1),4-0,Chelsea (1),0-0,City of Manchester Stadium, Manchester,51505,Robert Jones,"Mahrez 23', 85'(pen.); Álvarez 30'(pen.); Foden 38'"
FA Cup 2022-23,Third Round,8 January 2023,16:30 GMT,Aston Villa (1),1-2,Stevenage (4),0-0,Villa Park, Birmingham,32343,Graham Scott,"Sanson 33' | Reid 88'(pen.); Campbell 90'"
FA Cup 2022-23,Third Round,9 January 2023,20:00 GMT,Oxford United (3),0-3,Arsenal (1),0-0,Kassam Stadium, Oxford,11538,David Coote,"Elneny 63'; Nketiah 70', 76'"
FA Cup 2022-23,Third Round,17 January 2023,19:45 GMT,Forest Green Rovers (3),1-2,Birmingham City (2),0-0,The New Lawn, Nailsworth,3701,Sam Allison,"Stevenson 8' | Jutkiewicz 50'; Long 65'"
FA Cup 2022-23,Fourth Round,27 January 2023,20:00 GMT,Manchester City (1),1-0,Arsenal (1),0-0,City of Manchester Stadium, Manchester,51694,Paul Tierney,"Aké 64'"
FA Cup 2022-23,Fourth Round,28 January 2023,12:30 GMT,Accrington Stanley (3),1-3,Leeds United (1),0-0,Crown Ground, Accrington,5268,Josh Smith,"Adekoya 81' | Harrison 23'; Firpo 66'; Sinisterra 68'"
FA Cup 2022-23,Fourth Round,28 January 2023,12:30 GMT,Walsall (4),0-1,Leicester City (1),0-0,Bescot Stadium, Walsall,10297,Gavin Ward,"Iheanacho 68'"
FA Cup 2022-23,Fourth Round,28 January 2023,15:00 GMT,Blackburn Rovers (2),2-2,Birmingham City (2),0-0,Ewood Park, Blackburn,13687,Keith Stroud,"Dack 33'; Rankin-Costello 46' | Khadra 3'; James 90+1'"
FA Cup 2022-23,Fourth Round,31 January 2023,19:45 GMT,Birmingham City (2),0-1 (a.e.t.),Blackburn Rovers (2),0-0,St Andrew's, Birmingham,7183,Stephen Martin,"Trusty 100'(o.g.)"
FA Cup 2022-23,Fourth Round,28 January 2023,15:00 GMT,Bristol City (2),3-0,West Bromwich Albion (2),0-0,Ashton Gate, Bristol,15754,Matt Donohue,"Bell 12', 48'; Scott 28'"
FA Cup 2022-23,Fourth Round,28 January 2023,15:00 GMT,Fulham (1),1-1,Sunderland (2),0-0,Craven Cottage, London,22905,Michael Salisbury,"Cairney 61' | Clarke 6'"
