Tournament,Round,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Attendance,Referee,Goals
FA Cup 2024-25,First Round,1 November 2024,19:45 GMT,Notts County (4),5-0,Alfreton Town (6),0-0,Meadow Lane, Nottingham,6658,Scott Simpson,"Platt 16'; Jatta 48', 62'; Brown 85'(pen.), 90'"
FA Cup 2024-25,First Round,1 November 2024,19:45 GMT,Tamworth (5),1-0,Huddersfield Town (3),0-0,The Lamb Ground, Tamworth,3533,Benjamin Speedie,"Maxwell 44'(o.g.)"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Barrow (4),0-1,Doncaster Rovers (4),0-0,Holker Street, Barrow-in-Furness,2605,Dale Baines,"Kelly 83'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Brackley Town (6),0-0 (5-4 p),Braintree Town (5),0-0,St James Park, Brackley,1121,Stuart Morland,""
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Bradford City (4),3-1,Aldershot Town (5),0-1,Valley Parade, Bradford,4737,Craig Hicks,"Oliver 50'; Maghoma 65'(o.g.); Kavanagh 68' | Barham 32'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Bristol Rovers (3),3-1 (a.e.t.),Weston-super-Mare (6),0-1,Memorial Stadium, Bristol,6898,Ollie Yates,"Lindsay 42'; Taylor 95'; Ward 120+2' | Bastin 64'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Burton Albion (3),1-0,Scarborough Athletic (6),0-0,Pirelli Stadium, Burton upon Trent,3066,Simon Mather,"Kalinauskas 69'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Carlisle United (4),0-2 (a.e.t.),Wigan Athletic (3),0-0,Brunton Park, Carlisle,4532,Martin Woods,"S. Smith 105'; J. Smith 120+1'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Chesterfield (4),3-1,Horsham (7),0-0,SMH Group Stadium, Chesterfield,4887,Martin Coy,"Grigg 6', 49'; Dobra 65' | Dickson 85'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Crewe Alexandra (4),1-1 (4-2 p),Dagenham & Redbridge (5),0-0,Gresty Road, Crewe,3133,John Mulligan,"Pereira 73'(pen.)"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Exeter City (3),6-5 (a.e.t.),Barnet (5),0-0,St James Park, Exeter,4244,Lee Swabey,"Magennis 13', 76'(pen.), 85'(pen.); Bird 90+6'; Doyle 90+11' | Glover 39'; Brunt 59'; Kabamba 78'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Gillingham (4),0-2,Blackpool (3),0-0,Priestfield Stadium, Gillingham,4403,Carl Brook,"Carey 38', 90+4'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Grimsby Town (4),0-1,Wealdstone (5),0-0,Blundell Park, Cleethorpes,3174,James Westgate,"Reid 90'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Hednesford Town (8),4-4 (4-5 p),Gainsborough Trinity (7),0-0,Keys Park, Hednesford,3866,Jason Richardson,"Duku 4'; Holness 21'; McHale 49', 95' | Howe 65', 77'; Lancaster 90+4'; Clarke 109'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Maidenhead United (5),1-2 (a.e.t.),Crawley Town (3),0-0,York Road, Maidenhead,1814,Stephen Parkinson,"McCoulsky 64' | Mullarkey 90+5'; Showunmi 116'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Newport County (4),2-4,Peterborough United (3),0-0,Rodney Parade, Newport,2941,Stephen Martin,"Glennon 5'; Whitmore 7' | Odoh 27'; Randall 71'; Jones 89', 90+3'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Port Vale (4),1-3,Barnsley (3),0-0,Vale Park, Stoke-on-Trent,5128,Charles Breakspear,"Curtis 31' | Roberts 17'; Keillor-Dunn 64'; Phillips 82'(pen.)"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Reading (3),2-0,Fleetwood Town (4),0-0,Madejski Stadium, Reading,3685,Paul Howard,"Bindon 48'; Odubeko 86'(o.g.)"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Rochdale (5),3-4,Bromley (4),0-0,Spotland Stadium, Rochdale,2329,Aaron Bannister,"Beckwith 24'; Webster 52'(o.g.); Henderson 80' | Whitely 1', 90+2'; Cheek 3'; Amantchi 90+1'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Rotherham United (3),1-3,Cheltenham Town (4),0-0,New York Stadium, Rotherham,2770,Adam Herczeg,"Wilks 37' | Colwill 36', 45'; Archer 58'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Rushall Olympic (6),0-2,Accrington Stanley (4),0-0,Dales Lane, Walsall,1311,Steven Copeland,"J. Woods 73'; Walton 82'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Salford City (4),2-1,Shrewsbury Town (3),0-0,Moor Lane, Salford,2374,Leigh Doughty,"Lund 5', 42' | Marquis 15'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Solihull Moors (5),3-0,Maidstone United (6),0-0,Damson Park, Solihull,1682,Richie Watkins,"Clarke 49'; Stevens 88'(pen.); Wilkinson 90+7'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Southend United (5),3-4 (a.e.t.),Charlton Athletic (3),0-0,Roots Hall, Southend-on-Sea,8875,Darren Drysdale,"Bridge 45+1'(pen.); Coker 52'; Gillesphey 90+3'(o.g.) | Leaburn 9'; Z. Mitchell 40'; Godden 66'; Ahadme 120+1'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Stevenage (3),1-1 (5-4 p),Guiseley (7),0-0,Broadhall Way, Stevenage,2224,Oliver Mackey,"Reid 53' | Longbottom 83'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Stockport County (3),2-1 (a.e.t.),Forest Green Rovers (5),0-0,Edgeley Park, Stockport,4624,Scott Tallis,"Horsfall 64'; Wootton 97' | Doidge 82'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Swindon Town (4),2-1 (a.e.t.),Colchester United (4),0-0,County Ground, Swindon,4855,Scott Jackson,"McGregor 83'; Tshimanga 106' | Anderson 64'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Tonbridge Angels (6),1-4,Harborough Town (7),0-0,Longmead Stadium, Tonbridge,3132,Ross Martin,"Shields 90+5' | Malone 41'; Stephens 60', 72'; Forbes 87'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Tranmere Rovers (4),1-2,Oldham Athletic (5),0-0,Prenton Park, Birkenhead,6464,Declan Bourne,"Jennings 9' | Norwood 39'; Uchegbulam 61'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Walsall (4),2-1,Bolton Wanderers (3),0-0,Bescot Stadium, Walsall,6684,Ruebyn Ricardo,"L. Gordon 59'; Jellis 90+1' | Sheehan 55'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Woking (5),0-1,Cambridge United (3),0-0,Kingfield Stadium, Woking,3105,Jamie O'Connor,"Brophy 73'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Worthing (6),0-2,Morecambe (4),0-0,Woodside Road, Worthing,3110,Sam Mulhall,"Slew 7'; Williams 88'"
FA Cup 2024-25,First Round,2 November 2024,15:00 GMT,Wycombe Wanderers (3),3-2,York City (5),0-0,Adams Park, High Wycombe,2765,Tom Reeves,"Leahy 14'(pen.), 57'; Kodua 21' | Sinclair 31'; Felix 90+4'"
FA Cup 2024-25,First Round,2 November 2024,17:30 GMT,Northampton Town (3),1-2 (a.e.t.),Kettering Town (7),0-0,Sixfields Stadium, Northampton,7104,Elliot Bell,"Johnson 28'(o.g.) | Miller 66'; Ranger 92'"
FA Cup 2024-25,First Round,3 November 2024,12:30 GMT,Milton Keynes Dons (4),0-2,AFC Wimbledon (4),0-0,Stadium MK, Milton Keynes,10419,Matt Corlett,"Stevens 44'; Bugiel 51'"
FA Cup 2024-25,First Round,3 November 2024,12:30 GMT,Sutton United (5),0-1,Birmingham City (3),0-0,Gander Green Lane, Sutton,4804,Ben Atkinson,"Willumsson 34'"
FA Cup 2024-25,First Round,3 November 2024,,Boreham Wood (6),2-2 (1-3 p),Leyton Orient (3),0-0,,Borehamwood,,,""
FA Cup 2024-25,First Round,3 November 2024,,Curzon Ashton (6),0-4,Mansfield Town (3),0-0,,Ashton-under-Lyne,,,""
FA Cup 2024-25,First Round,4 November 2024,,Harrogate Town (4),1-0,Wrexham (3),0-0,,Harrogate,,,""
FA Cup 2024-25,First Round,4 November 2024,,Chesham United (6),0-4,Lincoln City (3),0-0,,Chesham,,,""
FA Cup 2024-25,Second Round,29 November 2024,,Harrogate Town (4),1-0,Gainsborough Trinity (7),0-0,,Harrogate,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Wealdstone (5),0-2,Wycombe Wanderers (3),0-0,,Ruislip,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Accrington Stanley (4),2-2 (4-1 p),Swindon Town (4),0-0,,Accrington,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Barnsley (3),0-0 (3-4 p),Bristol Rovers (3),0-0,,Barnsley,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Cambridge United (3),1-2 (a.e.t.),Wigan Athletic (3),0-0,,Cambridge,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Crawley Town (3),3-4,Lincoln City (3),0-0,,Crawley,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Exeter City (3),2-0,Chesterfield (4),0-0,,Exeter,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Leyton Orient (3),2-1 (a.e.t.),Oldham Athletic (5),0-0,,Leyton,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Morecambe (4),1-0,Bradford City (4),0-0,,Morecambe,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Peterborough United (3),4-3,Notts County (4),0-0,,Peterborough,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Salford City (4),2-0,Cheltenham Town (4),0-0,,Salford,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Stevenage (3),0-1,Mansfield Town (3),0-0,,Stevenage,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Stockport County (3),3-1,Brackley Town (6),0-0,,Stockport,,,""
FA Cup 2024-25,Second Round,30 November 2024,,Walsall (4),0-4,Charlton Athletic (3),0-0,,Walsall,,,""
FA Cup 2024-25,Second Round,30 November 2024,,AFC Wimbledon (4),1-2,Dagenham & Redbridge (5),0-0,,Wimbledon,,,""
FA Cup 2024-25,Second Round,1 December 2024,,Kettering Town (7),1-2 (a.e.t.),Doncaster Rovers (4),0-0,,Burton Latimer,,,""
FA Cup 2024-25,Second Round,1 December 2024,,Blackpool (3),1-2,Birmingham City (3),0-0,,Blackpool,,,""
FA Cup 2024-25,Second Round,1 December 2024,,Burton Albion (3),1-1 (3-4 p),Tamworth (5),0-0,,Burton upon Trent,,,""
FA Cup 2024-25,Second Round,1 December 2024,,Reading (3),5-3 (a.e.t.),Harborough Town (7),0-0,,Reading,,,""
FA Cup 2024-25,Second Round,1 December 2024,,Solihull Moors (5),1-2,Bromley (4),0-0,,Solihull,,,""
