Round,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,ResultType,Notes
First Round North,2022-08-09,Shrewsbury Town,Carlisle United,3,2,FT,
First Round North,2022-08-09,Accrington Stanley,Tranmere Rovers,2,2,FT,P (11-12)
First Round North,2022-08-09,Blackpool,Barrow,0,0,FT,P (3-4)
First Round North,2022-08-09,Bolton Wanderers,Salford City,5,1,FT,
First Round North,2022-08-09,Bradford City,Hull City,2,1,FT,
First Round North,2022-08-09,Doncaster Rovers,Lincoln City,0,3,FT,
First Round North,2022-08-09,Fleetwood Town,Wigan Athletic,1,0,FT,
First Round North,2022-08-09,Grimsby Town,Crewe Alexandra,4,0,FT,
First Round North,2022-08-09,Harrogate Town,Stockport County,0,1,FT,
First Round North,2022-08-09,Huddersfield Town,Preston North End,1,4,FT,
First Round North,2022-08-09,Mansfield Town,Derby County,1,2,FT,
First Round North,2022-08-09,Morecambe,Stoke City,0,0,FT,P (5-3)
First Round North,2022-08-09,Rochdale,Burton Albion,2,0,FT,
First Round North,2022-08-10,Blackburn Rovers,Hartlepool United,4,0,FT,
First Round North,2022-08-10,Middlesbrough,Barnsley,0,1,FT,
First Round North,2022-08-10,Port Vale,Rotherham United,1,2,FT,
First Round North,2022-08-10,Sheffield Wednesday,Sunderland,2,0,FT,
First Round North,2022-08-11,West Bromwich Albion,Sheffield United,1,0,FT,

First Round South,2022-08-02,Cambridge United,Millwall,1,0,FT,
First Round South,2022-08-09,AFC Wimbledon,Gillingham,0,2,FT,
First Round South,2022-08-09,Cardiff City,Portsmouth,0,3,FT,
First Round South,2022-08-09,Charlton Athletic,QPR,1,1,FT,P (5-3)
First Round South,2022-08-09,Cheltenham Town,Exeter City,0,7,FT,
First Round South,2022-08-09,Crawley Town,Bristol Rovers,1,0,FT,
First Round South,2022-08-09,Forest Green Rovers,Leyton Orient,2,0,FT,
First Round South,2022-08-09,Ipswich Town,Colchester United,0,1,FT,
First Round South,2022-08-09,Luton Town,Newport County,2,3,FT,
First Round South,2022-08-09,MK Dons,Sutton United,1,0,FT,
First Round South,2022-08-09,Northampton Town,Wycombe Wanderers,1,2,FT,
First Round South,2022-08-09,Norwich City,Birmingham City,2,2,FT,P (4-2)
First Round South,2022-08-09,Oxford United,Swansea City,2,2,FT,P (5-3)
First Round South,2022-08-09,Walsall,Swindon Town,2,0,FT,
First Round South,2022-08-09,Reading,Stevenage,1,2,FT,
First Round South,2022-08-10,Coventry City,Bristol City,1,4,FT,
First Round South,2022-08-10,Plymouth Argyle,Peterborough United,0,2,FT,

