Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2022,Qatar,Group Stage,Group A,Sun Nov 20,19:00,Qatar,0-2,Ecuador,0-2,Al Bayt Stadium, Al Khor,"(Enner Valencia 16' (pen.), 31')"
FIFA World Cup 2022,Qatar,Group Stage,Group A,Mon Nov 21,19:00,Senegal,0-2,Netherlands,0-0,Al Thumama Stadium, Doha,"(Cody Gakpo 84' Davy Klaassen 90+9')"
FIFA World Cup 2022,Qatar,Group Stage,Group A,Fri Nov 25,16:00,Qatar,1-3,Senegal,0-1,Al Thumama Stadium, Doha,"(Mohammed Muntari 78'; Boulaye Dia 41' Famara Diédhiou 48' Bamba Dieng 84')"
FIFA World Cup 2022,Qatar,Group Stage,Group A,Fri Nov 25,19:00,Netherlands,1-1,Ecuador,1-0,Khalifa International Stadium, Al Rayyan,"(Cody Gakpo 6'; Enner Valencia 49')"
FIFA World Cup 2022,Qatar,Group Stage,Group A,Tue Nov 29,18:00,Ecuador,1-2,Senegal,0-1,Khalifa International Stadium, Al Rayyan,"(Moisés Caicedo 67'; Ismaila Sarr 44'(pen.) Koulibaly 70')"
FIFA World Cup 2022,Qatar,Group Stage,Group A,Tue Nov 29,18:00,Netherlands,2-0,Qatar,1-0,Al Bayt Stadium, Al Khor,"(Cody Gakpo 26' Frenkie de Jong 49')"
FIFA World Cup 2022,Qatar,Group Stage,Group B,Mon Nov 21,16:00,England,6-2,Iran,3-0,Khalifa International Stadium, Al Rayyan,"(Jude Bellingham 35' Bukayo Saka 43', 62' Raheem Sterling 45+1' Marcus Rashford 71' Jack Grealish 90'; Mehdi Taremi 65', 90+13' (pen.))"
FIFA World Cup 2022,Qatar,Group Stage,Group B,Mon Nov 21,22:00,USA,1-1,Wales,1-0,Ahmad bin Ali Stadium, Al Rayyan,"(Timothy Weah 36'; Gareth Bale 82' (pen.))"
FIFA World Cup 2022,Qatar,Group Stage,Group B,Fri Nov 25,13:00,Wales,0-2,Iran,0-0,Ahmad bin Ali Stadium, Al Rayyan,"(Roozbeh Cheshmi 90+8' Ramin Rezaeian 90+11')"
FIFA World Cup 2022,Qatar,Group Stage,Group B,Fri Nov 25,22:00,England,0-0,USA,0-0,Al Bayt Stadium, Al Khor,
FIFA World Cup 2022,Qatar,Group Stage,Group B,Tue Nov 29,22:00,Wales,0-3,England,0-0,Ahmad bin Ali Stadium, Al Rayyan,"(Rashford 50' Foden 51' Rashford 68')"
FIFA World Cup 2022,Qatar,Group Stage,Group B,Tue Nov 29,22:00,Iran,0-1,USA,0-1,Al Thumama Stadium, Doha,"(Pulisic 38')"
FIFA World Cup 2022,Qatar,Group Stage,Group C,Tue Nov 22,13:00,Argentina,1-2,Saudi Arabia,1-0,Lusail Iconic Stadium, Lusail,"(Lionel Messi 10'(pen.); Saleh Al Shehri 48' Salem Al Dawsari 53')"
FIFA World Cup 2022,Qatar,Group Stage,Group C,Tue Nov 22,19:00,Mexico,0-0,Poland,0-0,Stadium 974, Doha,
FIFA World Cup 2022,Qatar,Group Stage,Group C,Sat Nov 26,16:00,Poland,2-0,Saudi Arabia,1-0,Education City Stadium, Al Rayyan,"(Piotr Zielinski 39' Robert Lewandowski 82')"
FIFA World Cup 2022,Qatar,Group Stage,Group C,Sat Nov 26,22:00,Argentina,2-0,Mexico,0-0,Lusail Iconic Stadium, Lusail,"(Lionel Messi 64' Enzo Fernández 87')"
FIFA World Cup 2022,Qatar,Group Stage,Group C,Wed Nov 30,22:00,Poland,0-2,Argentina,0-0,Stadium 974, Doha,"(Mac Allister 46' Julián Álvarez 67')"
FIFA World Cup 2022,Qatar,Group Stage,Group C,Wed Nov 30,22:00,Saudi Arabia,1-2,Mexico,0-0,Lusail Iconic Stadium, Lusail,"(Salem Al Dawasari 90+5'; Henry Martín 47' Luis Chávez 52')"
FIFA World Cup 2022,Qatar,Group Stage,Group D,Tue Nov 22,16:00,Denmark,0-0,Tunisia,0-0,Education City Stadium, Al Rayyan,
FIFA World Cup 2022,Qatar,Group Stage,Group D,Tue Nov 22,22:00,France,4-1,Australia,2-1,Al Janoub Stadium, Al Wakrah,"(Adrien Rabiot 27' Olivier Giroud 32', 71' Kylian Mbappé 68'; Craig Goodwin 9')"
FIFA World Cup 2022,Qatar,Group Stage,Group D,Sat Nov 26,13:00,Tunisia,0-1,Australia,0-1,Al Janoub Stadium, Al Wakrah,"(Mitchell Duke 23')"
FIFA World Cup 2022,Qatar,Group Stage,Group D,Sat Nov 26,19:00,France,2-1,Denmark,0-0,Stadium 974, Doha,"(Kylian Mbappé 61' 86'; Andreas Christensen 68')"
FIFA World Cup 2022,Qatar,Group Stage,Group D,Wed Nov 30,18:00,Australia,1-0,Denmark,0-0,Al Janoub Stadium, Al Wakrah,"(Mathew Leckie 60')"
FIFA World Cup 2022,Qatar,Group Stage,Group D,Wed Nov 30,18:00,Tunisia,1-0,France,0-0,Education City Stadium, Al Rayyan,"(Wahbi Khazri 58')"
FIFA World Cup 2022,Qatar,Group Stage,Group E,Wed Nov 23,16:00,Germany,1-2,Japan,1-0,Khalifa International Stadium, Al Rayyan,"(Ilkay Gündogan 33'(pen.); Ritsu Doan 75' Takuma Asano 83')"
FIFA World Cup 2022,Qatar,Group Stage,Group E,Wed Nov 23,19:00,Spain,7-0,Costa Rica,3-0,Al Thumama Stadium, Doha,"(Dani Olmo 11' Marco Asensio 21' Ferran Torres 31'(pen.), 54' Gavi 74' Carlos Soler 90' Álvaro Morata 90+2')"
FIFA World Cup 2022,Qatar,Group Stage,Group E,Sun Nov 27,13:00,Japan,0-1,Costa Rica,0-0,Ahmad bin Ali Stadium, Al Rayyan,"(Keysher Fuller 81')"
FIFA World Cup 2022,Qatar,Group Stage,Group E,Sun Nov 27,22:00,Spain,1-1,Germany,0-0,Al Bayt Stadium, Al Khor,"(Álvaro Morata 62'; Niclas Füllkrug 83')"
FIFA World Cup 2022,Qatar,Group Stage,Group E,Thu Dec 1,22:00,Japan,2-1,Spain,0-0,Khalifa International Stadium, Al Rayyan,"(Ritsu Dōan 48' Ao Tanaka 51'; Álvaro Morata 11')"
FIFA World Cup 2022,Qatar,Group Stage,Group E,Thu Dec 1,22:00,Costa Rica,2-4,Germany,0-1,Al Bayt Stadium, Al Khor,"(Yeltsin Tejeda 58' Juan Vargas 70'; Serge Gnabry 10' Kai Lukas Havertz 73', 85' Niclas Füllkrug 89')"
FIFA World Cup 2022,Qatar,Group Stage,Group F,Wed Nov 23,13:00,Morocco,0-0,Croatia,0-0,Al Bayt Stadium, Al Khor,
FIFA World Cup 2022,Qatar,Group Stage,Group F,Wed Nov 23,22:00,Belgium,1-0,Canada,1-0,Ahmad bin Ali Stadium, Al Rayyan,"(Michy Batshuayi 44')"
