Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2002,Korea/Japan,Group Stage,Group A,Fri May 31,20:30,France,0-1,Senegal,0-0,Seoul World Cup Stadium, Seoul,"(Papa Bouba Diop 30')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group A,Sat Jun 1,15:30,Uruguay,1-2,Denmark,0-1,Munsu Cup Stadium, Ulsan,"(Richard Morales 45'; Dennis Rommedahl 22' Jon Dahl Tomasson 67')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group A,Thu Jun 6,15:30,France,0-0,Uruguay,0-0,Asiad Main Stadium, Busan,
FIFA World Cup 2002,Korea/Japan,Group Stage,Group A,Thu Jun 6,20:30,Denmark,1-1,Senegal,0-1,Daegu World Cup Stadium, Daegu,"(Jon Dahl Tomasson 16'; Salif Diao 52')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group A,Tue Jun 11,15:30,Denmark,2-0,France,1-0,Incheon Munhak Stadium, Incheon,"(Dennis Rommedahl 22' Jon Dahl Tomasson 67')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group A,Tue Jun 11,20:30,Senegal,3-3,Uruguay,1-2,Suwon World Cup Stadium, Suwon,"(Papa Bouba Diop 20', 90+3' Khalilou Fadiga 38'(pen.); Richard Morales 22' Diego Forlán 69' Álvaro Recoba 87'(pen.))"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group B,Sat Jun 2,15:30,Paraguay,2-2,South Africa,1-1,Asiad Main Stadium, Busan,"(Nelson Cuevas 10', 76'; Benni McCarthy 31' Quinton Fortune 90+2'(pen.))"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group B,Sat Jun 2,20:30,Spain,3-1,Slovenia,1-0,Gwangju World Cup Stadium, Gwangju,"(Raúl 44' Fernando Morientes 53' Diego Tristán 81'; Milenko Aćimović 45+1')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group B,Fri Jun 7,15:30,Spain,3-1,Paraguay,1-1,Jeonju World Cup Stadium, Jeonju,"(Fernando Morientes 53', 90+1' Raúl 83'; Nelson Cuevas 10')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group B,Sat Jun 8,15:30,South Africa,1-0,Slovenia,1-0,Daegu World Cup Stadium, Daegu,"(Benni McCarthy 4')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group B,Wed Jun 12,15:30,South Africa,2-3,Spain,1-1,Daejeon World Cup Stadium, Daejeon,"(Benni McCarthy 31' Siyabonga Nomvethe 53'; Raúl 4' Fernando Morientes 45+1' Joaquín 90+3')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group B,Wed Jun 12,20:30,Slovenia,1-3,Paraguay,0-1,Jeju World Cup Stadium, Jeju,"(Milenko Aćimović 65'; Nelson Cuevas 65', 84' Roque Santa Cruz 73')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group C,Sun Jun 3,18:30,Brazil,2-1,Turkey,0-0,Munsu Cup Stadium, Ulsan,"(Ronaldo 50' Rivaldo 87'(pen.); Hasan Şaş 45+1')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group C,Mon Jun 4,15:30,China,0-2,Costa Rica,0-0,Gwangju World Cup Stadium, Gwangju,"(Winston Parks 61' Ronald Gómez 65')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group C,Fri Jun 8,15:30,Brazil,4-0,China,2-0,Jeju World Cup Stadium, Jeju,"(Roberto Carlos 15' Rivaldo 32' Ronaldinho 45'(pen.) Edílson 76')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group C,Sat Jun 9,15:30,Costa Rica,1-1,Turkey,1-0,Incheon Munhak Stadium, Incheon,"(Winston Parks 86'; Emre Belözoğlu 56')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group C,Wed Jun 13,15:30,Costa Rica,2-5,Brazil,1-3,Suwon World Cup Stadium, Suwon,"(Winston Parks 39' Ronald Gómez 56'; Ronaldo 10', 90+3' Edmílson 38' Rivaldo 62'(pen.) Júnior 90+1')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group C,Wed Jun 13,20:30,Turkey,3-0,China,1-0,Seoul World Cup Stadium, Seoul,"(Hasan Şaş 6' İlhan Mansız 9', 85')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group D,Mon Jun 4,20:30,South Korea,2-0,Poland,1-0,Asiad Main Stadium, Busan,"(Hwang Sun-hong 25' Yoo Sang-chul 53')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group D,Tue Jun 5,15:30,USA,3-2,Portugal,1-0,Suwon World Cup Stadium, Suwon,"(Clint Mathis 24' Brian McBride 36', 50'; Beto 7' Pauleta 27')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group D,Sat Jun 10,15:30,South Korea,1-1,USA,0-1,Daegu World Cup Stadium, Daegu,"(Ahn Jung-hwan 78'; Clint Mathis 24')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group D,Sat Jun 10,20:30,Portugal,4-0,Poland,1-0,Jeonju World Cup Stadium, Jeonju,"(Pauleta 14', 65', 90+1' Rui Costa 88')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group D,Wed Jun 14,15:30,Portugal,0-1,South Korea,0-0,Incheon Munhak Stadium, Incheon,"(Ahn Jung-hwan 70')"
