Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2010,South Africa,Group Stage,Group A,Fri Jun 11,16:00,South Africa,1-1,Mexico,0-0,Soccer City, Johannesburg,"(Siphiwe Tshabalala 55'; Javier Hernández 89')"
FIFA World Cup 2010,South Africa,Group Stage,Group A,Fri Jun 11,20:30,Uruguay,0-0,France,0-0,Cape Town Stadium, Cape Town,
FIFA World Cup 2010,South Africa,Group Stage,Group A,Wed Jun 16,20:30,South Africa,0-3,Uruguay,0-1,Loftus Versfeld Stadium, Pretoria,"(Diego Forlán 24', 80'(pen.) Álvaro Pereira 90+2')"
FIFA World Cup 2010,South Africa,Group Stage,Group A,Thu Jun 17,20:30,France,0-2,Mexico,0-0,Peter Mokaba Stadium, Polokwane,"(Javier Hernández 64' Cuauhtémoc Blanco 79'(pen.))"
FIFA World Cup 2010,South Africa,Group Stage,Group A,Tue Jun 22,16:00,Mexico,0-1,Uruguay,0-1,Royal Bafokeng Stadium, Rustenburg,"(Luis Suárez 43')"
FIFA World Cup 2010,South Africa,Group Stage,Group A,Tue Jun 22,16:00,France,1-2,South Africa,0-2,Free State Stadium, Bloemfontein,"(Florent Malouda 20'; Siphiwe Tshabalala 20' Katlego Mphela 37'(pen.))"
FIFA World Cup 2010,South Africa,Group Stage,Group B,Sat Jun 12,13:30,South Korea,2-0,Greece,1-0,Nelson Mandela Bay Stadium, Port Elizabeth,"(Lee Jung-soo 7' Park Ji-sung 52')"
FIFA World Cup 2010,South Africa,Group Stage,Group B,Sat Jun 12,16:00,Argentina,1-0,Nigeria,1-0,Ellis Park Stadium, Johannesburg,"(Gabriel Heinze 6')"
FIFA World Cup 2010,South Africa,Group Stage,Group B,Thu Jun 17,13:30,Argentina,4-1,South Korea,2-1,Soccer City, Johannesburg,"(Gonzalo Higuaín 33', 76' Lionel Messi 90+1' Diego Milito 90+3'; Lee Chung-yong 45+1')"
FIFA World Cup 2010,South Africa,Group Stage,Group B,Thu Jun 17,16:00,Greece,2-1,Nigeria,1-0,Free State Stadium, Bloemfontein,"(Dimitris Salpingidis 44' Vasilis Torosidis 71'; Kalu Uche 93')"
FIFA World Cup 2010,South Africa,Group Stage,Group B,Tue Jun 22,20:30,Nigeria,2-2,South Korea,1-1,Moses Mabhida Stadium, Durban,"(Kalu Uche 12' Yakubu 69'(pen.); Lee Jung-soo 38' Park Chu-young 49')"
FIFA World Cup 2010,South Africa,Group Stage,Group B,Tue Jun 22,20:30,Greece,0-2,Argentina,0-0,Peter Mokaba Stadium, Polokwane,"(Martín Demichelis 77' Martín Palermo 89')"
FIFA World Cup 2010,South Africa,Group Stage,Group C,Sat Jun 12,20:30,England,1-1,USA,1-1,Royal Bafokeng Stadium, Rustenburg,"(Steven Gerrard 4'; Clint Dempsey 40')"
FIFA World Cup 2010,South Africa,Group Stage,Group C,Sun Jun 13,13:30,Algeria,0-1,Slovenia,0-0,Peter Mokaba Stadium, Polokwane,"(Robert Koren 79')"
FIFA World Cup 2010,South Africa,Group Stage,Group C,Fri Jun 18,16:00,Slovenia,2-2,USA,2-0,Ellis Park Stadium, Johannesburg,"(Valter Birsa 13' Zlatan Ljubijankić 42'; Landon Donovan 48' Michael Bradley 82')"
FIFA World Cup 2010,South Africa,Group Stage,Group C,Fri Jun 18,20:30,England,0-0,Algeria,0-0,Cape Town Stadium, Cape Town,
FIFA World Cup 2010,South Africa,Group Stage,Group C,Wed Jun 23,16:00,USA,1-0,Algeria,0-0,Loftus Versfeld Stadium, Pretoria,"(Landon Donovan 90+1')"
FIFA World Cup 2010,South Africa,Group Stage,Group C,Wed Jun 23,16:00,Slovenia,0-1,England,0-1,Nelson Mandela Bay Stadium, Port Elizabeth,"(Jermain Defoe 23')"
FIFA World Cup 2010,South Africa,Group Stage,Group D,Sun Jun 13,16:00,Serbia,0-1,Ghana,0-0,Loftus Versfeld Stadium, Pretoria,"(Asamoah Gyan 93'(pen.))"
