Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2018,Russia,Group Stage,Group A,Thu Jun 14,18:00 UTC+3,Russia,5-0,Saudi Arabia,2-0,Luzhniki Stadium, Moscow,"(Gazinsky 12' Cheryshev 43', 90+1' Dzyuba 71' Golovin 90+4')"
FIFA World Cup 2018,Russia,Group Stage,Group A,Fri Jun 15,17:00 UTC+5,Egypt,0-1,Uruguay,0-0,Ekaterinburg Arena, Ekaterinburg,"(Giménez 89')"
FIFA World Cup 2018,Russia,Group Stage,Group A,Tue Jun 19,21:00 UTC+3,Russia,3-1,Egypt,0-0,Saint Petersburg Stadium, Saint Petersburg,"(A. Fathi 47' (o.g.) Cheryshev 59' Dzyuba 62'; M. Salah 73' (pen.))"
FIFA World Cup 2018,Russia,Group Stage,Group A,Wed Jun 20,18:00 UTC+3,Uruguay,1-0,Saudi Arabia,1-0,Rostov Arena, Rostov-on-Don,"(L. Suárez 23')"
FIFA World Cup 2018,Russia,Group Stage,Group A,Mon Jun 25,18:00 UTC+4,Uruguay,3-0,Russia,2-0,Samara Arena, Samara,"(L. Suárez 10' Cheryshev 23' (o.g.) E. Cavani 90')"
FIFA World Cup 2018,Russia,Group Stage,Group A,Mon Jun 25,17:00 UTC+3,Saudi Arabia,2-1,Egypt,1-1,Volgograd Arena, Volgograd,"(Salman Al-Faraj 45+6' (pen.) Salem Al-Dawsari 90+5'; M. Salah 22')"
FIFA World Cup 2018,Russia,Group Stage,Group B,Fri Jun 15,18:00 UTC+3,Morocco,0-1,Iran,0-0,Saint Petersburg Stadium, Saint Petersburg,"(Bouhaddouz 90+5' (o.g.))"
FIFA World Cup 2018,Russia,Group Stage,Group B,Fri Jun 15,21:00 UTC+3,Portugal,3-3,Spain,2-1,Fisht Stadium, Sochi,"(Ronaldo 4' (pen.), 44', 88'; Costa 24', 55' Nacho 58')"
FIFA World Cup 2018,Russia,Group Stage,Group B,Wed Jun 20,15:00 UTC+3,Portugal,1-0,Morocco,1-0,Luzhniki Stadium, Moscow,"(Ronaldo 4')"
FIFA World Cup 2018,Russia,Group Stage,Group B,Wed Jun 20,21:00 UTC+3,Iran,0-1,Spain,0-0,Kazan Arena, Kazan,"(Diego Costa 54')"
FIFA World Cup 2018,Russia,Group Stage,Group B,Mon Jun 25,21:00 UTC+3,Iran,1-1,Portugal,0-1,Mordovia Arena, Saransk,"(Karim Ansarifard 90+3' (pen.); Quaresma 45')"
FIFA World Cup 2018,Russia,Group Stage,Group B,Mon Jun 25,20:00 UTC+2,Spain,2-2,Morocco,1-1,Kaliningrad Stadium, Kaliningrad,"(Isco 19' Iago Aspas 90+1'; Boutaib 14' En-Nesyri 81')"
FIFA World Cup 2018,Russia,Group Stage,Group C,Sat Jun 16,13:00 UTC+3,France,2-1,Australia,0-0,Kazan Arena, Kazan,"(Griezmann 58' (pen.) Behich 81' (o.g.); Jedinak 62' (pen.))"
FIFA World Cup 2018,Russia,Group Stage,Group C,Sat Jun 16,19:00 UTC+3,Peru,0-1,Denmark,0-0,Mordovia Arena, Saransk,"(Poulsen 59')"
FIFA World Cup 2018,Russia,Group Stage,Group C,Thu Jun 21,16:00 UTC+4,Denmark,1-1,Australia,1-1,Samara Arena, Samara,"(Eriksen 7'; Jedinak 38' (pen.))"
FIFA World Cup 2018,Russia,Group Stage,Group C,Thu Jun 21,20:00 UTC+5,France,1-0,Peru,1-0,Ekaterinburg Arena, Ekaterinburg,"(Mbappé 34')"
FIFA World Cup 2018,Russia,Group Stage,Group C,Tue Jun 26,17:00 UTC+3,Denmark,0-0,France,0-0,Luzhniki Stadium, Moscow,
FIFA World Cup 2018,Russia,Group Stage,Group C,Tue Jun 26,17:00 UTC+3,Australia,0-2,Peru,0-1,Fisht Stadium, Sochi,"(Carrillo 18' Guerrero 50')"
FIFA World Cup 2018,Russia,Group Stage,Group D,Sat Jun 16,16:00 UTC+3,Argentina,1-1,Iceland,1-1,Spartak Stadium, Moscow,"(Agüero 19'; Finnbogason 23')"
FIFA World Cup 2018,Russia,Group Stage,Group D,Sat Jun 16,21:00 UTC+2,Croatia,2-0,Nigeria,1-0,Kaliningrad Stadium, Kaliningrad,"(Etebo 32' (o.g.) Modrić 71' (pen.))"
FIFA World Cup 2018,Russia,Group Stage,Group D,Thu Jun 21,21:00 UTC+3,Argentina,0-3,Croatia,0-0,Nizhny Novgorod Stadium, Nizhny Novgorod,"(Rebić 53' Modrić 80' Rakitić 90+1')"
FIFA World Cup 2018,Russia,Group Stage,Group D,Fri Jun 22,18:00 UTC+3,Nigeria,2-0,Iceland,0-0,Volgograd Arena, Volgograd,"(Musa 49', 75')"
FIFA World Cup 2018,Russia,Group Stage,Group D,Tue Jun 26,21:00 UTC+3,Nigeria,1-2,Argentina,0-1,Saint Petersburg Stadium, Saint Petersburg,"(Moses 51' (pen.); Messi 14' Marcos Rojo 86')"
FIFA World Cup 2018,Russia,Group Stage,Group D,Tue Jun 26,21:00 UTC+3,Iceland,1-2,Croatia,0-0,Rostov Arena, Rostov-on-Don,"(G. Sigurðsson 76' (pen.); Badelj 53' Perišić 90')"
