Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2014,Brazil,Group Stage,Group A,Thu Jun 12,17:00 UTC-3,Brazil,3-1,Croatia,1-1,Arena de São Paulo, São Paulo,"(Neymar 29', 71'(pen.) Oscar 90+1'; Marcelo 11'(o.g.))"
FIFA World Cup 2014,Brazil,Group Stage,Group A,Fri Jun 13,13:00 UTC-3,Mexico,1-0,Cameroon,0-0,Estádio das Dunas, Natal,"(Oribe Peralta 61')"
FIFA World Cup 2014,Brazil,Group Stage,Group A,Tue Jun 17,16:00 UTC-3,Brazil,0-0,Mexico,0-0,Estádio Castelão, Fortaleza,
FIFA World Cup 2014,Brazil,Group Stage,Group A,Wed Jun 18,18:00 UTC-4,Cameroon,0-4,Croatia,0-1,Arena Amazônia, Manaus,"(Ivica Olić 11' Ivan Perišić 48' Mario Mandžukić 61', 73')"
FIFA World Cup 2014,Brazil,Group Stage,Group A,Mon Jun 23,17:00 UTC-3,Cameroon,1-4,Brazil,0-2,Estádio Nacional Mané Garrincha, Brasília,"(Joel Matip 26'; Neymar 17', 35' Fred 49' Fernandinho 84')"
FIFA World Cup 2014,Brazil,Group Stage,Group A,Mon Jun 23,17:00 UTC-3,Croatia,1-3,Mexico,0-0,Arena Pernambuco, Recife,"(Ivan Perišić 87'; Rafael Márquez 72' Andres Guardado 75' Javier Hernández 82')"
FIFA World Cup 2014,Brazil,Group Stage,Group B,Fri Jun 13,16:00 UTC-3,Spain,1-5,Netherlands,1-1,Arena Fonte Nova, Salvador,"(Xabi Alonso 27'(pen.); Robin van Persie 44', 72' Arjen Robben 53', 80' Stefan de Vrij 65')"
FIFA World Cup 2014,Brazil,Group Stage,Group B,Fri Jun 13,18:00 UTC-4,Chile,3-1,Australia,2-1,Arena Pantanal, Cuiabá,"(Alexis Sánchez 12' Jorge Valdívia 14' Jean Beausejour 90+2'; Tim Cahill 35')"
FIFA World Cup 2014,Brazil,Group Stage,Group B,Wed Jun 18,13:00 UTC-3,Australia,2-3,Netherlands,1-1,Estádio Beira-Rio, Porto Alegre,"(Tim Cahill 21' Mile Jedinak 54'(pen.); Arjen Robben 20' Robin van Persie 58' Memphis Depay 68')"
FIFA World Cup 2014,Brazil,Group Stage,Group B,Wed Jun 18,16:00 UTC-3,Spain,0-2,Chile,0-2,Estádio do Maracanã, Rio de Janeiro,"(Eduardo Vargas 20' Charles Aránguiz 43')"
FIFA World Cup 2014,Brazil,Group Stage,Group B,Mon Jun 23,13:00 UTC-3,Australia,0-3,Spain,0-1,Arena da Baixada, Curitiba,"(David Villa 36' Fernando Torres 69' Juan Mata 82')"
FIFA World Cup 2014,Brazil,Group Stage,Group B,Mon Jun 23,13:00 UTC-3,Netherlands,2-0,Chile,0-0,Arena de São Paulo, São Paulo,"(Leroy Fer 77' Memphis Depay 90+2')"
FIFA World Cup 2014,Brazil,Group Stage,Group C,Sat Jun 14,13:00 UTC-3,Colombia,3-0,Greece,0-0,Estádio Mineirão, Belo Horizonte,"(Pablo Armero 5' Teófilo Gutiérrez 58' James Rodríguez 90+3')"
FIFA World Cup 2014,Brazil,Group Stage,Group C,Sat Jun 14,22:00 UTC-3,Côte d'Ivoire,2-1,Japan,0-1,Arena Pernambuco, Recife,"(Wilfried Bony 64' Gervinho 66'; Keisuke Honda 16')"
FIFA World Cup 2014,Brazil,Group Stage,Group C,Thu Jun 19,13:00 UTC-3,Colombia,2-1,Côte d'Ivoire,0-0,Estádio Nacional Mané Garrincha, Brasília,"(James Rodríguez 64' Juan Quintero 70'; Gervinho 73')"
FIFA World Cup 2014,Brazil,Group Stage,Group C,Thu Jun 19,19:00 UTC-3,Japan,0-0,Greece,0-0,Estádio das Dunas, Natal,
FIFA World Cup 2014,Brazil,Group Stage,Group C,Tue Jun 24,16:00 UTC-4,Japan,1-4,Colombia,0-1,Arena Pantanal, Cuiabá,"(Shinji Okazaki 45+1'; Juan Cuadrado 17'(pen.) Jackson Martínez 55', 82' James Rodríguez 90')"
FIFA World Cup 2014,Brazil,Group Stage,Group C,Tue Jun 24,17:00 UTC-3,Greece,2-1,Côte d'Ivoire,0-0,Estádio Castelão, Fortaleza,"(Andreas Samaris 42' Georgios Samaras 90+3'(pen.); Wilfried Bony 74')"
FIFA World Cup 2014,Brazil,Group Stage,Group D,Sat Jun 14,16:00 UTC-3,Uruguay,1-3,Costa Rica,0-0,Estádio Castelão, Fortaleza,"(Edinson Cavani 24'(pen.); Joel Campbell 54' Óscar Duarte 57' Marcos Ureña 84')"
